       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
       1116 23 May 2023 10:55:17     38.000     38.353    11.0139  31.211839     0.3868 5.3345e-02    251.520     86.787     38.000    27.2768    20.7672    1484.76 0.0000e+00
       1132 23 May 2023 10:55:21     39.000     39.362    11.0132  31.219042     0.3966 5.3354e-02    251.513     86.788     39.000    27.2839    20.7729    1484.78 0.0000e+00
       1162 23 May 2023 10:55:28     40.000     40.371    11.0133  31.224776     0.3860 5.3359e-02    251.498     86.782     40.000    27.2890    20.7768    1484.80 0.0000e+00
       1190 23 May 2023 10:55:35     39.000     39.362    11.0126  31.222019     0.3839 5.3359e-02    251.620     86.824     39.000    27.2872    20.7755    1484.78 0.0000e+00
       1212 23 May 2023 10:55:41     38.000     38.353    11.0146  31.218962     0.3786 5.3358e-02    251.352     86.729     38.000    27.2832    20.7720    1484.77 0.0000e+00
       1233 23 May 2023 10:55:46     37.000     37.343    11.0154  31.207749     0.3702 5.3363e-02    250.282     86.346     37.000    27.2721    20.7633    1484.74 0.0000e+00
       1255 23 May 2023 10:55:51     36.000     36.334    11.0147  31.183381     0.3723 5.3366e-02    252.254     87.022     36.000    27.2495    20.7459    1484.69 0.0000e+00
       1276 23 May 2023 10:55:57     35.000     35.324    11.0187  31.167602     0.3716 5.3371e-02    253.010     87.284     35.000    27.2317    20.7314    1484.67 0.0000e+00
       1296 23 May 2023 10:56:02     34.000     34.315    11.0230  31.157159     0.3668 5.3363e-02    253.171     87.330     34.000    27.2188    20.7206    1484.65 0.0000e+00
       1317 23 May 2023 10:56:07     33.000     33.306    11.0180  31.144395     0.3657 5.3362e-02    252.051     86.880     33.000    27.2105    20.7150    1484.61 0.0000e+00
       1337 23 May 2023 10:56:12     32.000     32.296    10.9874  31.106495     0.3663 5.3362e-02    249.121     85.823     32.000    27.1969    20.7096    1484.46 0.0000e+00
       1357 23 May 2023 10:56:17     31.000     31.287    10.9649  31.077780     0.3579 5.3363e-02    247.176     85.089     31.000    27.1862    20.7049    1484.36 0.0000e+00
       1378 23 May 2023 10:56:22     30.000     30.278    10.9364  31.033885     0.3573 5.3366e-02    248.223     85.449     30.000    27.1652    20.6933    1484.21 0.0000e+00
       1398 23 May 2023 10:56:27     29.000     29.268    10.9467  31.039900     0.3590 5.3349e-02    252.511     87.028     29.000    27.1638    20.6905    1484.23 0.0000e+00
       1417 23 May 2023 10:56:32     28.000     28.259    10.9950  31.073637     0.3664 5.3951e-02    253.686     87.404     28.000    27.1610    20.6804    1484.38 0.0000e+00
       1437 23 May 2023 10:56:37     27.000     27.250    10.9835  31.048526     0.3693 5.4071e-02    253.503     87.320     27.000    27.1457    20.6704    1484.31 0.0000e+00
       1458 23 May 2023 10:56:42     26.000     26.240    10.9783  31.029017     0.3666 5.8828e-02    254.652     87.706     26.000    27.1310    20.6599    1484.25 0.0000e+00
       1479 23 May 2023 10:56:47     25.000     25.231    10.9736  31.005253     0.3583 7.3605e-02    253.740     87.317     25.000    27.1118    20.6457    1484.20 0.0000e+00
       1499 23 May 2023 10:56:53     24.000     24.222    10.9423  30.955818     0.3609 8.3613e-02    253.012     87.042     24.000    27.0875    20.6320    1484.04 0.0000e+00
       1520 23 May 2023 10:56:58     23.000     23.212    10.9385  30.947764     0.3641 1.1287e-01    254.134     87.477     23.000    27.0829    20.6291    1484.00 0.0000e+00
       1542 23 May 2023 10:57:03     22.000     22.203    10.9613  30.951732     0.3675 1.4637e-01    254.948     87.701     22.000    27.0703    20.6155    1484.05 0.0000e+00
       1564 23 May 2023 10:57:09     21.000     21.194    10.9403  30.909015     0.3715 1.8713e-01    256.067     88.087     21.000    27.0449    20.5992    1483.93 0.0000e+00
       1586 23 May 2023 10:57:14     20.000     20.185    10.9398  30.888497     0.3584 2.4135e-01    255.804     87.860     20.000    27.0258    20.5845    1483.89 0.0000e+00
       1607 23 May 2023 10:57:19     19.000     19.175    10.8801  30.795751     0.3593 3.2120e-01    255.611     87.662     19.000    26.9803    20.5589    1483.60 0.0000e+00
       1628 23 May 2023 10:57:25     18.000     18.166    10.8246  30.705552     0.3597 4.2280e-01    255.885     87.633     18.000    26.9342    20.5321    1483.33 0.0000e+00
       1648 23 May 2023 10:57:30     17.000     17.157    10.7648  30.622922     0.3613 5.7106e-01    256.601     87.610     17.000    26.8983    20.5139    1483.06 0.0000e+00
       1669 23 May 2023 10:57:35     16.000     16.147    10.6472  30.465108     0.3628 7.6611e-01    257.166     87.773     16.000    26.8317    20.4811    1482.54 0.0000e+00
       1689 23 May 2023 10:57:40     15.000     15.138    10.6542  30.445749     0.3750 1.0461e+00    257.007     87.694     15.000    26.8081    20.4616    1482.52 0.0000e+00
       1710 23 May 2023 10:57:45     14.000     14.129    10.6400  30.396494     0.3715 1.4250e+00    256.277     87.242     14.000    26.7710    20.4351    1482.40 0.0000e+00
       1730 23 May 2023 10:57:50     13.000     13.120    10.5438  30.251582     0.3769 1.9472e+00    255.868     86.834     13.000    26.7007    20.3958    1481.95 0.0000e+00
       1750 23 May 2023 10:57:55     12.000     12.110    10.4382  30.090538     0.3820 2.6710e+00    252.667     85.743     12.000    26.6211    20.3507    1481.46 0.0000e+00
       1770 23 May 2023 10:58:00     11.000     11.101    10.4541  30.058686     0.4070 3.7170e+00    246.564     83.592     11.000    26.5788    20.3153    1481.45 0.0000e+00
       1790 23 May 2023 10:58:05     10.000     10.092    10.4283  29.981592     0.4766 5.1867e+00    235.737     79.950     10.000    26.5227    20.2757    1481.27 0.0000e+00
       1810 23 May 2023 10:58:10      9.000      9.083    10.4617  29.960155     0.6743 7.3834e+00    226.530     76.905      9.000    26.4779    20.2356    1481.32 0.0000e+00
       1829 23 May 2023 10:58:15      8.000      8.074    10.5182  29.951928     1.1370 1.0866e+01    223.544     75.869      8.000    26.4293    20.1889    1481.45 0.0000e+00
       1849 23 May 2023 10:58:20      7.000      7.064    10.5214  29.895510     2.5993 1.6609e+01    232.792     79.041      7.000    26.3724    20.1442    1481.38 0.0000e+00
       1869 23 May 2023 10:58:25      6.000      6.055    10.5692  29.839024     2.0513 2.5540e+01    259.495     88.178      6.000    26.2834    20.0674    1481.43 0.0000e+00
       1888 23 May 2023 10:58:30      5.000      5.046    10.6267  29.806049     2.5040 3.9817e+01    269.526     91.648      5.000    26.2104    20.0016    1481.53 0.0000e+00
       1907 23 May 2023 10:58:35      4.000      4.037    10.6686  29.792486     4.4338 6.7211e+01    273.158     92.992      4.000    26.1677    19.9617    1481.62 0.0000e+00
       1927 23 May 2023 10:58:39      3.000      3.027    10.7561  29.785567     2.1821 1.0937e+02    277.423     95.333      3.000    26.0989    19.8944    1481.83 0.0000e+00
       1945 23 May 2023 10:58:44      2.000      2.018    11.3321  29.802722     0.3890 1.7526e+02    282.007     98.951      2.000    25.7121    19.5002    1483.42 0.0000e+00
       1964 23 May 2023 10:58:49      1.000      1.009    12.7651  29.012062     0.0096 3.2030e+02    288.004     96.189      1.000    24.0281    17.9525    1486.43 0.0000e+00
