       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        935 15 Mar 2023 10:01:44     37.000     37.343     8.0051  31.158572     0.3636 5.3380e-02    283.128     92.749     37.000    29.6056    23.0399    1476.43 0.0000e+00
        949 15 Mar 2023 10:01:48     38.000     38.353     8.0056  31.166177     0.3589 5.3379e-02    282.987     92.708     38.000    29.6127    23.0454    1476.45 0.0000e+00
        964 15 Mar 2023 10:01:52     39.000     39.362     8.0067  31.184527     0.3611 5.3385e-02    284.329     93.160     39.000    29.6306    23.0593    1476.50 0.0000e+00
        978 15 Mar 2023 10:01:55     40.000     40.371     8.0086  31.208006     0.3561 5.3405e-02    284.167     93.125     40.000    29.6532    23.0767    1476.55 0.0000e+00
        993 15 Mar 2023 10:01:59     41.000     41.381     8.0095  31.216910     0.3501 5.3377e-02    283.711     92.983     41.000    29.6614    23.0830    1476.58 0.0000e+00
       1011 15 Mar 2023 10:02:03     42.000     42.390     8.0100  31.224873     0.3506 5.3391e-02    283.434     92.899     42.000    29.6689    23.0888    1476.61 0.0000e+00
       1043 15 Mar 2023 10:02:12     43.000     43.400     8.0105  31.231750     0.3486 5.3391e-02    283.119     92.800     43.000    29.6753    23.0938    1476.63 0.0000e+00
       1072 15 Mar 2023 10:02:19     44.000     44.409     8.0120  31.242996     0.3601 5.3403e-02    282.931     92.748     44.000    29.6854    23.1016    1476.67 0.0000e+00
       1095 15 Mar 2023 10:02:25     45.000     45.418     8.0121  31.244230     0.3709 5.3376e-02    282.797     92.705     45.000    29.6862    23.1021    1476.69 0.0000e+00
       1117 15 Mar 2023 10:02:30     46.000     46.428     8.0123  31.246268     0.3596 5.3390e-02    282.636     92.653     46.000    29.6877    23.1033    1476.70 0.0000e+00
       1134 15 Mar 2023 10:02:34     47.000     47.437     8.0125  31.249070     0.3626 5.3355e-02    282.575     92.635     47.000    29.6900    23.1051    1476.72 0.0000e+00
       1151 15 Mar 2023 10:02:38     48.000     48.447     8.0126  31.251142     0.3537 5.3402e-02    282.489     92.609     48.000    29.6917    23.1064    1476.75 0.0000e+00
       1168 15 Mar 2023 10:02:43     49.000     49.456     8.0126  31.252003     0.3584 5.3395e-02    282.590     92.642     49.000    29.6922    23.1067    1476.76 0.0000e+00
       1185 15 Mar 2023 10:02:47     50.000     50.465     8.0128  31.253116     0.3584 5.3370e-02    282.549     92.629     50.000    29.6928    23.1072    1476.78 0.0000e+00
       1204 15 Mar 2023 10:02:52     51.000     51.475     8.0128  31.253598     0.3483 5.3363e-02    282.811     92.715     51.000    29.6928    23.1072    1476.80 0.0000e+00
       1239 15 Mar 2023 10:03:01     52.000     52.484     8.0089  31.250383     0.3324 5.3392e-02    282.707     92.674     52.000    29.6924    23.1074    1476.80 0.0000e+00
       1260 15 Mar 2023 10:03:06     51.000     51.475     8.0087  31.250104     0.3409 5.3387e-02    282.978     92.761     51.000    29.6926    23.1076    1476.78 0.0000e+00
       1283 15 Mar 2023 10:03:11     50.000     50.465     8.0091  31.249935     0.3459 5.3379e-02    282.789     92.700     50.000    29.6925    23.1075    1476.77 0.0000e+00
       1301 15 Mar 2023 10:03:16     49.000     49.456     8.0065  31.247158     0.3427 5.3368e-02    282.770     92.689     49.000    29.6923    23.1077    1476.74 0.0000e+00
       1316 15 Mar 2023 10:03:20     48.000     48.446     8.0072  31.246727     0.3431 5.3386e-02    282.417     92.574     48.000    29.6917    23.1071    1476.72 0.0000e+00
       1332 15 Mar 2023 10:03:24     47.000     47.437     8.0085  31.244771     0.3334 5.3373e-02    282.525     92.610     47.000    29.6890    23.1048    1476.71 0.0000e+00
       1347 15 Mar 2023 10:03:27     46.000     46.428     8.0087  31.243026     0.3390 5.3402e-02    282.564     92.623     46.000    29.6874    23.1036    1476.69 0.0000e+00
       1362 15 Mar 2023 10:03:31     45.000     45.418     8.0085  31.242042     0.3304 5.3414e-02    282.537     92.613     45.000    29.6869    23.1032    1476.67 0.0000e+00
       1377 15 Mar 2023 10:03:35     44.000     44.409     8.0091  31.239339     0.3314 5.3407e-02    282.360     92.555     44.000    29.6840    23.1008    1476.65 0.0000e+00
       1392 15 Mar 2023 10:03:39     43.000     43.399     8.0086  31.234769     0.3292 5.3389e-02    282.540     92.610     43.000    29.6800    23.0978    1476.63 0.0000e+00
       1407 15 Mar 2023 10:03:43     42.000     42.390     8.0088  31.232175     0.3255 5.3354e-02    282.463     92.584     42.000    29.6776    23.0959    1476.61 0.0000e+00
       1422 15 Mar 2023 10:03:46     41.000     41.381     8.0084  31.225640     0.3280 5.3394e-02    282.551     92.609     41.000    29.6715    23.0911    1476.59 0.0000e+00
       1437 15 Mar 2023 10:03:50     40.000     40.371     8.0078  31.215664     0.3304 5.3390e-02    282.908     92.719     40.000    29.6619    23.0837    1476.56 0.0000e+00
       1452 15 Mar 2023 10:03:54     39.000     39.362     8.0068  31.202555     0.3321 5.3353e-02    283.221     92.812     39.000    29.6494    23.0741    1476.52 0.0000e+00
       1467 15 Mar 2023 10:03:57     38.000     38.353     8.0056  31.186791     0.3317 5.3378e-02    283.513     92.896     38.000    29.6344    23.0624    1476.48 0.0000e+00
       1481 15 Mar 2023 10:04:01     37.000     37.343     8.0043  31.177035     0.3285 5.3378e-02    283.771     92.972     37.000    29.6256    23.0557    1476.45 0.0000e+00
       1496 15 Mar 2023 10:04:05     36.000     36.334     8.0041  31.169536     0.3314 5.3379e-02    283.713     92.948     36.000    29.6183    23.0501    1476.42 0.0000e+00
       1511 15 Mar 2023 10:04:08     35.000     35.325     8.0037  31.164603     0.3314 5.3376e-02    283.979     93.032     35.000    29.6140    23.0467    1476.40 0.0000e+00
       1525 15 Mar 2023 10:04:12     34.000     34.315     8.0032  31.156367     0.3331 5.3372e-02    283.989     93.031     34.000    29.6061    23.0406    1476.37 0.0000e+00
       1540 15 Mar 2023 10:04:16     33.000     33.306     8.0006  31.108578     0.3344 5.3365e-02    284.121     93.043     33.000    29.5586    23.0037    1476.29 0.0000e+00
       1555 15 Mar 2023 10:04:19     32.000     32.296     7.9956  31.045426     0.3367 5.3370e-02    284.456     93.105     32.000    29.4969    22.9560    1476.17 0.0000e+00
       1570 15 Mar 2023 10:04:23     31.000     31.287     7.9921  31.001584     0.3394 5.3394e-02    285.008     93.251     31.000    29.4541    22.9230    1476.09 0.0000e+00
       1585 15 Mar 2023 10:04:27     30.000     30.278     7.9868  30.924300     0.3418 5.3374e-02    285.066     93.218     30.000    29.3779    22.8639    1475.96 0.0000e+00
       1600 15 Mar 2023 10:04:31     29.000     29.269     7.9784  30.823602     0.3483 5.3377e-02    285.517     93.288     29.000    29.2796    22.7880    1475.79 0.0000e+00
       1614 15 Mar 2023 10:04:34     28.000     28.259     7.9674  30.698244     0.3490 5.3368e-02    285.808     93.289     28.000    29.1576    22.6939    1475.58 0.0000e+00
