       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        888 23 May 2023 12:30:57     38.000     38.353     9.8345  36.618270     0.4139 2.4138e-01    280.103     98.097     38.000    33.6342    25.9132    1488.20 0.0000e+00
        906 23 May 2023 12:31:01     39.000     39.362     9.8328  36.616300     0.3807 2.0871e-01    279.660     97.918     39.000    33.6333    25.9128    1488.21 0.0000e+00
        926 23 May 2023 12:31:06     40.000     40.371     9.8217  36.603829     0.3980 1.8049e-01    279.268     97.767     40.000    33.6304    25.9124    1488.18 0.0000e+00
        945 23 May 2023 12:31:11     41.000     41.381     9.8156  36.598405     0.3931 1.6069e-01    279.144     97.713     41.000    33.6302    25.9132    1488.18 0.0000e+00
        964 23 May 2023 12:31:16     42.000     42.390     9.8107  36.594131     0.4242 1.3753e-01    278.551     97.482     42.000    33.6299    25.9139    1488.18 0.0000e+00
        996 23 May 2023 12:31:24     43.000     43.399     9.7958  36.578796     0.4161 1.1621e-01    278.414     97.417     43.000    33.6277    25.9146    1488.14 0.0000e+00
       1021 23 May 2023 12:31:30     42.000     42.390     9.7956  36.579752     0.3957 1.3980e-01    278.345     97.419     42.000    33.6294    25.9159    1488.12 0.0000e+00
       1045 23 May 2023 12:31:36     41.000     41.381     9.8072  36.591910     0.3996 1.6086e-01    278.994     97.688     41.000    33.6314    25.9156    1488.15 0.0000e+00
       1067 23 May 2023 12:31:41     40.000     40.371     9.8269  36.613402     0.3979 1.8559e-01    279.654     97.956     40.000    33.6354    25.9155    1488.21 0.0000e+00
       1086 23 May 2023 12:31:46     39.000     39.362     9.8404  36.626593     0.3627 2.1851e-01    279.469     97.914     39.000    33.6367    25.9142    1488.24 0.0000e+00
       1106 23 May 2023 12:31:51     38.000     38.353     9.8505  36.635997     0.3839 2.5232e-01    280.128     98.148     38.000    33.6374    25.9131    1488.26 0.0000e+00
       1126 23 May 2023 12:31:56     37.000     37.343     9.8514  36.634988     0.3951 2.9445e-01    279.718     97.961     37.000    33.6359    25.9117    1488.25 0.0000e+00
       1145 23 May 2023 12:32:01     36.000     36.334     9.8334  36.610159     0.4095 3.4425e-01    279.787     97.974     36.000    33.6279    25.9085    1488.16 0.0000e+00
       1163 23 May 2023 12:32:06     35.000     35.324     9.8276  36.606741     0.3805 4.0479e-01    279.809     98.051     35.000    33.6302    25.9113    1488.12 0.0000e+00
       1181 23 May 2023 12:32:10     34.000     34.315     9.8585  36.642497     0.3763 4.6997e-01    280.348     98.307     34.000    33.6384    25.9125    1488.23 0.0000e+00
       1201 23 May 2023 12:32:15     33.000     33.306     9.8897  36.672595     0.3798 5.5281e-01    280.472     98.378     33.000    33.6404    25.9089    1488.33 0.0000e+00
       1223 23 May 2023 12:32:20     32.000     32.296     9.9045  36.686950     0.4020 6.5992e-01    280.096     98.281     32.000    33.6418    25.9075    1488.36 0.0000e+00
       1244 23 May 2023 12:32:26     31.000     31.287     9.9197  36.700255     0.4077 7.9030e-01    280.879     98.573     31.000    33.6416    25.9048    1488.40 0.0000e+00
       1266 23 May 2023 12:32:31     30.000     30.278     9.9270  36.704843     0.4308 9.3435e-01    280.406     98.413     30.000    33.6399    25.9023    1488.41 0.0000e+00
       1290 23 May 2023 12:32:37     29.000     29.268     9.9302  36.706600     0.4081 1.1062e+00    281.059     98.653     29.000    33.6392    25.9011    1488.40 0.0000e+00
       1316 23 May 2023 12:32:44     28.000     28.259     9.9366  36.711835     0.4016 1.3132e+00    280.684     98.536     28.000    33.6391    25.9000    1488.41 0.0000e+00
       1338 23 May 2023 12:32:49     27.000     27.250     9.9424  36.716548     0.4156 1.5630e+00    281.117     98.708     27.000    33.6389    25.8989    1488.41 0.0000e+00
       1360 23 May 2023 12:32:55     26.000     26.240     9.9519  36.725738     0.4195 1.8281e+00    281.153     98.778     26.000    33.6399    25.8980    1488.43 0.0000e+00
       1379 23 May 2023 12:32:59     25.000     25.231     9.9776  36.753379     0.4089 2.1292e+00    283.181     99.605     25.000    33.6445    25.8974    1488.52 0.0000e+00
       1396 23 May 2023 12:33:04     24.000     24.222    10.0284  36.796767     0.4713 2.4764e+00    285.618    100.516     24.000    33.6419    25.8867    1488.68 0.0000e+00
       1412 23 May 2023 12:33:08     23.000     23.212    10.0555  36.810705     0.4863 2.8413e+00    285.969    100.676     23.000    33.6312    25.8738    1488.75 0.0000e+00
       1428 23 May 2023 12:33:12     22.000     22.203    10.0754  36.819216     0.4967 3.3553e+00    286.204    100.770     22.000    33.6218    25.8631    1488.79 0.0000e+00
       1444 23 May 2023 12:33:16     21.000     21.194    10.0826  36.821231     0.5451 3.8980e+00    286.548    100.900     21.000    33.6176    25.8586    1488.79 0.0000e+00
       1460 23 May 2023 12:33:20     20.000     20.185    10.0873  36.822950     0.5632 4.4738e+00    286.316    100.825     20.000    33.6155    25.8562    1488.79 0.0000e+00
       1476 23 May 2023 12:33:24     19.000     19.175    10.0908  36.824192     0.4936 5.2050e+00    287.008    101.083     19.000    33.6139    25.8544    1488.79 0.0000e+00
       1492 23 May 2023 12:33:28     18.000     18.166    10.0976  36.827545     0.5780 6.1100e+00    286.529    100.937     18.000    33.6114    25.8513    1488.79 0.0000e+00
       1508 23 May 2023 12:33:32     17.000     17.157    10.1078  36.833170     0.5593 7.0757e+00    286.655    101.039     17.000    33.6082    25.8470    1488.81 0.0000e+00
       1524 23 May 2023 12:33:36     16.000     16.148    10.1347  36.847481     0.6290 8.2944e+00    288.236    101.636     16.000    33.5982    25.8346    1488.87 0.0000e+00
       1540 23 May 2023 12:33:40     15.000     15.139    10.1579  36.859296     0.6545 9.7407e+00    289.643    102.165     15.000    33.5890    25.8236    1488.93 0.0000e+00
       1555 23 May 2023 12:33:43     14.000     14.129    10.1736  36.867256     0.6656 1.1396e+01    290.403    102.514     14.000    33.5830    25.8162    1488.96 0.0000e+00
       1570 23 May 2023 12:33:47     13.000     13.120    10.2035  36.887466     0.6334 1.3668e+01    289.408    102.332     13.000    33.5763    25.8058    1489.05 0.0000e+00
       1586 23 May 2023 12:33:51     12.000     12.111    10.2878  36.938500     0.7933 1.5730e+01    294.589    104.340     12.000    33.5503    25.7712    1489.30 0.0000e+00
       1602 23 May 2023 12:33:55     11.000     11.101    10.3835  36.977704     0.9787 1.9060e+01    296.369    105.087     11.000    33.5020    25.7171    1489.56 0.0000e+00
       1618 23 May 2023 12:33:59     10.000     10.092    10.4529  36.992530     1.1988 2.2904e+01    296.571    105.311     10.000    33.4534    25.6672    1489.74 0.0000e+00
       1634 23 May 2023 12:34:03      9.000      9.083    10.5804  36.911783     1.1931 2.8390e+01    298.437    105.915      9.000    33.2559    25.4913    1489.94 0.0000e+00
       1651 23 May 2023 12:34:07      8.000      8.074    10.6053  36.784703     1.0824 3.4539e+01    296.022    104.962      8.000    33.1064    25.3704    1489.83 0.0000e+00
       1666 23 May 2023 12:34:11      7.000      7.065    10.5847  36.703482     0.9612 4.2479e+01    294.560    104.345      7.000    33.0442    25.3255    1489.66 0.0000e+00
       1681 23 May 2023 12:34:15      6.000      6.055    10.5623  36.611681     0.8016 5.3597e+01    292.417    103.616      6.000    32.9729    25.2738    1489.48 0.0000e+00
       1696 23 May 2023 12:34:19      5.000      5.046    10.6391  36.408555     0.7472 6.5881e+01    294.440    104.487      5.000    32.7014    25.0491    1489.41 0.0000e+00
       1713 23 May 2023 12:34:23      4.000      4.037    10.8359  36.179407     0.8080 8.8154e+01    296.258    105.270      4.000    32.2984    24.7011    1489.60 0.0000e+00
       1738 23 May 2023 12:34:29      3.000      3.028    10.9932  36.022234     0.8802 1.2366e+02    296.938    105.587      3.000    32.0052    24.4455    1489.79 0.0000e+00
       1765 23 May 2023 12:34:36      2.000      2.018    11.0825  35.928744     0.9101 1.8017e+02    298.066    106.054      2.000    31.8358    24.2981    1489.88 0.0000e+00
       1785 23 May 2023 12:34:41      1.000      1.009    11.1118  35.908733     0.2579 2.7601e+02    284.570    101.120      1.000    31.7912    24.2582    1489.92 0.0000e+00
